"V1","V2","V3"
"time","H","P"
"1","271.843611570187","0"
"2","369.934358780526","0"
"3","504.03838144458","0"
"4","687.626992692411","0"
"5","939.31106459495","0"
"6","1284.84218774874","0"
"7","1759.90912454432","0"
"8","2414.05201969845","0"
"9","3316.15010496422","0"
"10","4562.12797997072","0"
"11","6285.79494478314","0"
"12","8674.11568154213","0"
"13","11988.7581859019","0"
"14","16596.5471638914","0"
"15","23012.5701878041","0"
"16","31961.2867299933","0"
"17","44463.2886835321","0"
"18","61958.660971847","0"
"19","86482.6341496403","0"
"20","120916.046304294","0"
"21","169342.963526479","0"
"22","237561.985683959","0"
"23","333818.228096234","0"
"24","469852.535601858","0"
"25","662407.241095339","0"
"26","935389.664498794","0"
"27","1322984.19395896","0"
"28","1874133.75878873","0"
"29","2659000.07673238","0"
"30","3778285.86766669","0"
"31","5376700.08456778","0"
"32","7662425.71831332","0"
"33","10935291.4623121","0"
"34","15627574.0176434","0"
"35","22363143.1266853","0"
"36","32043263.7758859","0"
"37","45971165.4334916","0"
"38","66033026.6063829","0"
"39","94961108.9774826","0"
"40","136716586.517846","0"
"41","197046875.496385","0"
"42","284297506.805788","0"
"43","410595493.109966","0"
"44","593575154.232417","0"
"45","858896428.196072","0"
"46","1243921477.47766","0"
"47","1803085014.81476","0"
"48","2615742337.19782","0"
"49","3797643442.04781","0"
"50","5517715948.16439","0"
"51","8022623378.99963","0"
"52","11672715519.319","0"
"53","16994675715.4654","0"
"54","24758648511.6941","0"
"55","36091270917.8035","0"
"56","52641377479.7181","0"
"57","76823005659.9011","0"
"58","112171874408.768","0"
"59","163868482389.375","0"
"60","239505929765.74","0"
"61","350217272235.162","0"
"62","512331208979.109","0"
"63","749804346707.939","0"
"64","1097795187061.47","0"
"65","1607917056175.2","0"
"66","2355960513432.64","0"
"67","3453248771441.21","0"
"68","5063338968137.89","0"
"69","7426591237047.53","0"
"70","10896319493376.4","0"
"71","15991994148921.7","0"
"72","23477555168825.5","0"
"73","34476708623591.4","0"
"74","50642703266810.1","0"
"75","74408374399351.9","0"
"76","109354467315793","0"
"77","160752281461525","0"
"78","236363267986457","0"
"79","347617439665055","0"
"80","511350323873166","0"
"81","752363579924000","0"
"82","1107200412663706","0"
"83","1629712889839931","0"
"84","2399272779203087","0"
"85","3532882754541114","0"
"86","5203043097726668","0"
"87","7664112405331368","0"
"88","11291205296279774","0"
"89","16637596653632606","0"
"90","24519447435919696","0"
"91","36140870333208984","0"
"92","53278562977216456","0"
"93","78554410476395088","0"
"94","1.15838014443e+17","0"
"95","170841136690665312","0"
"96","251995648586597280","0"
"97","371750329396103552","0"
"98","548486527689875648","0"
"99","809348298419191552","0"
"100","1194423957198729216","0"
"101","1762924945393444608","0"
"102","2602316856061422592","0"
"103","3841814329942683648","0"
"104","5672327148596336640","0"
"105","8375944053542589440","0"
"106","12369518695686723584","0"
"107","18269108141156550656","0"
"108","26985248081465810944","0"
"109","3.986383279206e+19","0"
"110","5.8894445568557e+19","0"
"111","87018457394458787840","0"
"112","1.28584706874903e+20","0"
"113","1.90023504107362e+20","0"
"114","2.80843634243437e+20","0"
"115","4.15107256582349e+20","0"
"116","6.13611924178034e+20","0"
"117","9.07118967984772e+20","0"
"118","1.34113034538058e+21","0"
"119","1.98295713497883e+21","0"
"120","2.93217976444025e+21","0"
"121","4.33612846102967e+21","0"
"122","6.41279476856595e+21","0"
"123","9.48474339394425e+21","0"
"124","1.40293089965379e+22","0"
"125","2.07529027086651e+22","0"
"126","0","2.03774585251851e+22"
"127","0","1.23730984639201e+21"
"128","0","0"
"129","0","0"
"130","0","0"
"131","0","0"
"132","0","0"
"133","0","0"
"134","3.85993137328009e-182","0"
"135","2.12190897704538e-53","0"
"136","6.80046030418153e-44","0"
"137","1.76635848556916e-41","0"
"138","8.532829906319e-40","0"
"139","2.07678665156318e-38","0"
"140","3.35611484244218e-37","0"
"141","4.08674905754634e-36","0"
"142","4.02696543942679e-35","0"
"143","3.35940140859908e-34","0"
"144","2.44715470401237e-33","0"
"145","1.5917687958147e-32","0"
"146","9.4018978478744e-32","0"
"147","5.10893042648802e-31","0"
"148","2.5806314891908e-30","0"
"149","1.2219601857969e-29","0"
"150","5.46182374756263e-29","0"
"151","2.3178772379755e-28","0"
"152","9.3853783510258e-28","0"
"153","3.64124727002868e-27","0"
"154","1.35851572723996e-26","0"
"155","4.88956221602939e-26","0"
"156","1.70243836077005e-25","0"
"157","5.74820784325958e-25","0"
"158","1.88624022279076e-24","0"
"159","6.02708013098731e-24","0"
"160","1.87852504386724e-23","0"
"161","5.72013630023401e-23","0"
"162","1.70407637975197e-22","0"
"163","4.97303942780897e-22","0"
"164","1.42335014010729e-21","0"
"165","3.99964391814245e-21","0"
"166","1.10452192439663e-20","0"
"167","3.00026619568398e-20","0"
"168","8.02298018679994e-20","0"
"169","2.11364702205076e-19","0"
"170","5.48978629825665e-19","0"
"171","1.40665509436932e-18","0"
"172","3.5578832255063e-18","0"
"173","8.88816083989737e-18","0"
"174","2.19419790340103e-17","0"
"175","5.3554457646078e-17","0"
"176","1.29291419691806e-16","0"
"177","3.08875566445862e-16","0"
"178","7.30484412437166e-16","0"
"179","1.71086151680819e-15","0"
"180","3.96961366840531e-15","0"
"181","9.12756308124122e-15","0"
"182","2.08051010299542e-14","0"
"183","4.7024090805262e-14","0"
"184","1.05420814672243e-13","0"
"185","2.34477176557269e-13","0"
"186","5.17546544895444e-13","0"
"187","1.13389588650481e-12","0"
"188","2.46641667179267e-12","0"
"189","5.32743777032228e-12","0"
"190","1.14291267585301e-11","0"
"191","2.43573278635728e-11","0"
"192","5.15754167695178e-11","0"
"193","1.08523184520167e-10","0"
"194","2.26952473041893e-10","0"
"195","4.71782419477899e-10","0"
"196","9.74991659311766e-10","0"
"197","2.00339400752349e-09","0"
"198","4.09343973575812e-09","0"
"199","8.31789678124995e-09","0"
"200","1.68106541478655e-08","0"
"201","3.37940972731746e-08","0"
"202","6.75799242766681e-08","0"
"203","1.34445674139295e-07","0"
"204","2.66106839795943e-07","0"
"205","5.24045684706426e-07","0"
"206","1.02684746387534e-06","0"
"207","2.00208205358337e-06","0"
"208","3.88425527722592e-06","0"
"209","7.49875580862712e-06","0"
"210","1.44054253339929e-05","0"
"211","2.75367150315048e-05","0"
"212","5.23762825236808e-05","0"
"213","9.91229383797568e-05","0"
"214","0.000186639286759209","0"
"215","0.000349609700426365","2.60181199345574e-19"
"216","0.000651424512669835","1.01806575345015e-17"
"217","0.00120719642047695","2.98987955657426e-16"
"218","0.00222454871920761","7.2169071205053e-15"
"219","0.00407528014053773","1.54329240459544e-13"
"220","0.00742008349025905","3.05534551446859e-12"
"221","0.0134231363231233","5.59884344224336e-11"
"222","0.0241159840241415","9.09245487879909e-10"
"223","0.043003202653731","1.22316903082421e-08"
"224","0.0760493647244981","1.29666354975935e-07"
"225","0.133253255130349","1.08805055721297e-06"
"226","0.231096971465068","7.6176886872139e-06"
"227","0.396203541982894","4.73787729016978e-05"
"228","0.670356682069771","0.000272227948755448"
"229","1.11608260992248","0.00144602360293048"
"230","1.81933855151976","0.00684398198407078"
"231","2.88247018455017","0.0272708327374933"
"232","4.40410274069495","0.0877461981722554"
"233","6.45437737276309","0.228800947904103"
"234","9.04486932951772","0.50619077630298"
"235","12.0611717551409","1.00572845723769"
"236","15.1356769411053","1.86107977628816"
"237","17.5339607866913","3.20873092784527"
"238","18.3223379533776","4.97272423935968"
"239","17.0908237243654","6.5466699895396"
"240","14.6307870494856","7.02368562884843"
"241","12.3210362690646","6.23578533191703"
"242","10.9364763144491","4.96915070491353"
"243","10.5073775688447","3.94308512589766"
"244","10.7904322254888","3.35895008105521"
"245","11.5151165548878","3.17184881159477"
"246","12.3913839096335","3.31644220993054"
"247","13.0641923889331","3.74531445223274"
"248","13.1310363182179","4.373566576875"
"249","12.2991296239383","4.98895628040309"
"250","10.6686263024872","5.21682654855369"
"251","8.92367851394556","4.69444245074929"
"252","8.00303742164294","3.51557942730998"
"253","8.36694301693856","2.33890027503145"
"254","9.96241317941092","1.63509960841999"
"255","12.6903123424576","1.39812433088777"
"256","16.4985250078751","1.56126746486201"
"257","21.0975929663671","2.26820063335475"
"258","25.2637695373297","4.05539889387874"
"259","25.7547397436","7.89211398135274"
"260","18.7002525900187","13.1791501355711"
"261","8.35244154018265","13.2144932567569"
"262","3.38291569740894","6.24220989028111"
"263","2.49221288758604","1.77752111967163"
"264","3.00515274809909","0.503538061747387"
"265","4.2344411280799","0.185039593509794"
"266","6.19872564068878","0.0983880550297624"
"267","9.15841182202331","0.0818297066462023"
"268","13.530328412599","0.113618792042103"
"269","19.8262170900541","0.262124958401922"
"270","28.2230272769631","0.903497864817328"
"271","36.2574227402352","3.817183745834"
"272","32.9836043291877","13.8237844774434"
"273","13.5319968730084","23.6125134224017"
"274","3.04660591920742","11.8005999776612"
"275","1.34301418603929","2.38773902956646"
"276","1.3627625992372","0.480788269809222"
"277","1.87714838756912","0.118585846273412"
"278","2.75666416786563","0.0381110514798188"
"279","4.10401079850271","0.0160667428878537"
"280","6.13120943662306","0.00907999640885545"
"281","9.1687793821605","0.00743749357869294"
"282","13.7100715933632","0.0114998787140002"
"283","20.4471120215038","0.0492942711724989"
"284","29.9088009252958","0.437697145567148"
"285","38.4063979215791","4.04654487904145"
"286","30.2208076975245","17.5998473761386"
"287","10.9369365456399","22.688587343552"
"288","2.85469300399562","9.52737725529125"
"289","1.3652721527807","2.19628851821269"
"290","1.37707944178586","0.489024921371592"
"291","1.89857082220023","0.117447499076681"
"292","2.79653941330615","0.0339497913914225"
"293","4.17266606378427","0.0122866615558767"
"294","6.24260170092088","0.00599802219072907"
"295","9.34426914389134","0.00426518538223273"
"296","13.9863248457559","0.00484594086666668"
"297","20.9269043789828","0.00939592119289867"
"298","31.2787163036253","0.0315417740329029"
"299","46.5416116474934","0.17833663564823"
"300","67.19121731306","1.61167159573756"
"301","72.3856492315437","18.5536910363544"
"302","7.98163248635432","65.6382314326935"
"303","0.106839337269758","8.81728545733884"
"304","0.0814442306013245","0.200977507969833"
"305","0.117441670262267","0.0135145710482142"
"306","0.179716357708498","0.00155708647577453"
"307","0.274900936350414","0.000367404604754606"
"308","0.420122975980267","0.000127218949503985"
"309","0.641415943995237","6.58602383815001e-05"
"310","0.978318404832771","4.70741663608797e-05"
"311","1.49076612707716","4.72308685955448e-05"
"312","2.2695339782651","6.85666519647671e-05"
"313","3.45195618407926","0.000145032765692357"
"314","5.24545573604481","0.000431738150601767"
"315","7.96209052053135","0.00170728222144471"
"316","12.0650005492412","0.00862212331427205"
"317","18.1968099771067","0.0549823561733364"
"318","26.8573683968642","0.433486410099332"
"319","34.9355322701727","3.61392999111819"
"320","25.5911960472814","17.4539884901233"
"321","7.23961208974507","20.4361652383365"
"322","2.36046808484781","6.03970741943853"
"323","1.67978935695537","1.41312778315089"
"324","2.10739563670067","0.367874703651565"
"325","3.01678433572047","0.162091400041478"
"326","4.41993373911956","0.124019576556983"
"327","6.4714802568849","0.148435518226964"
"328","9.3491876600022","0.258576624090411"
"329","13.0840950292231","0.591253028958327"
"330","17.1238747306542","1.51517142147102"
"331","19.9223693654344","3.50387368172639"
"332","19.9359694135068","6.1373823780875"
"333","17.4895132810005","7.7944413848414"
"334","14.3389762641903","7.61768381884955"
"335","11.7867203652603","6.35413625163578"
"336","10.2122519991951","4.96451108228948"
"337","9.5791435292784","3.85885154385781"
"338","9.75913257047408","3.12125846220434"
"339","10.6189724340785","2.73659245611235"
"340","11.9758420116407","2.70114600174179"
"341","13.4216580277188","3.09557697979216"
"342","14.1305955084685","4.04210613677463"
"343","13.2583900201489","5.27318528359174"
"344","11.2404383473904","5.70553774413295"
"345","9.46765498596318","4.87066282314887"
"346","8.72634627431257","3.59805449388285"
"347","9.08744229189101","2.61119104520998"
"348","10.4433389014211","2.05879184488927"
"349","12.7211329192672","1.88531372539333"
"350","15.8316264680689","2.07915625881747"
"351","19.4227929934258","2.78971351014524"
"352","22.3258246795295","4.45231556216557"
"353","21.8334556179237","7.71541432437787"
"354","15.3954067195394","11.578393590863"
"355","7.40028061243874","10.5567090455096"
"356","3.85625318963853","4.96514552566264"
"357","3.30772140209402","1.72526353862485"
"358","3.96149951417172","0.684507597844996"
"359","5.36813797133055","0.364998071778217"
"360","7.56398691728033","0.275078631520601"
"361","10.7690254747105","0.293073168466542"
"362","15.2974329776691","0.421729068662357"
"363","21.4405357297446","0.774085075795938"
"364","29.0764768077583","1.71985275651244"
"365","36.3776408232474","4.37207511353651"
"366","36.8108477365851","11.3406958925334"
"367","21.5405079513742","22.187764513255"
"368","4.90599339692342","18.5225736615114"
"369","1.12529154802382","4.41138702132559"
"370","0.935386753621159","0.559768513514049"
"371","1.30055501824967","0.0908248260346014"
"372","1.94412586598542","0.0242035102269119"
"373","2.93354801964735","0.0119276799690285"
"374","4.42625831679239","0.012077832340872"
"375","6.65766136015796","0.0229430732484035"
"376","9.94539421442282","0.0638652580505261"
"377","14.6352231899782","0.212242967652883"
"378","20.8028385084169","0.74501362064393"
"379","27.1974577033667","2.54828567891553"
"380","29.1096700581862","7.52352419114357"
"381","20.6833826550685","15.0378550003515"
"382","8.74209690489492","14.9190800108946"
"383","3.41310461604804","6.77516593132991"
"384","2.24278308927884","2.06191626619907"
"385","2.46508091516131","0.630226368386293"
"386","3.38459502367541","0.215541143044662"
"387","4.9387993420734","0.0940246446636346"
"388","7.31021727080142","0.0638888395454107"
"389","10.8115730053123","0.09126296211706"
"390","15.7645887776289","0.260600752807654"
"391","22.0101122404526","0.970367095567938"
"392","27.5308721435539","3.37563263033708"
"393","27.3410620167174","8.84852932921609"
"394","18.7451255827365","14.4672719526175"
"395","8.92319612697843","12.8252747776702"
"396","4.19534188964346","6.35949439048056"
"397","3.02196238180665","2.31560000409959"
"398","3.33268210496764","0.852740454111178"
"399","4.47224948428195","0.378153735515731"
"400","6.39493841240025","0.22770854233412"
"400","3.48780834222055","17.8703673611471"
